Date,Artist,Title,Lyrics
2016-03-17,Kevin Gates,2 Phones,"  [intro] hello? what the deal? bet  [hook] i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin  [verse 1] button start the foreign, oh my god i'm gorgeous i just put the key inside my pocket park it, might not get to see it, this a new ferrari man in the mirror, how you choose to bother someone said they callin', i don't feel like talkin' everything i get returned the way i bought it phone be interrupting me while i'm recordin' phone be making women feel they unimportant call my dog, he say it's all the way retarded keep the oil cause i am not using the foreman kitchen, i just finished up a new performance hater, wish you well i got clientele i just got it off the scale  [hook] i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin  [verse 2] there they go again, one of my lil friends they don't give a damn how a nigga been all they wanna know is what i got to give how much did i spend? what i got to lend? what i did and what i didn't do for them bricks comin' in somewhere on the rim section doin' numbers, nowhere by a gym droppin' bottles spend hustlin' i'm supplin' 10 jumpin' out a honda, i just got it in askin' what i cop, none of your concern one day you gone learn what you tryna get everything on sale, goin' out of biz partners up in jail, gotta feed the kids juggin' round the city, you know what it is bread winner business, put that on the wrist  [hook] i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin  [verse 3] ring, ring, ringin' man find me balling hard come from grinding hard getting calling cards from your barbie doll when she round me she know i'm her bodyguard money callin' for me, baby girl i'm sorry you just high yella you not that important weight, shape her, i could pin you to the carpet smell like tartar, i'mma put you in the water conversation cost a lot of chips she don't really get a lot of this engagin' where i'm gazin' at her hips and ain't nobody makin' no attempts amazing clip, hanging, slanging dick maybe we can make it takin' trips maybe i was thinkin' too impatient phone ringing, hold up, what it is?  [hook] i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin i got two phones, one for the plug and one for the load i got two phones, one for the bitches and one for the dough think i need two more, line bumpin im ring, ring, ringin countin money while they ring, ring, ringin trap jumpin' im ring, ring, ringin  "
2016-06-09,Kent Jones,Don't Mind,"  [intro] hola, holana  [pre-hook] keep telling me this and telling me that you said once you take me with you, ill never go back now i got a lesson, that i want to teach i'ma show you that where you from dont matter to me  [hook] she said ""hola, cmo ests?"", she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all she said ""hola, cmo ests?"", she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all  [verse 1] african american for sho i told her, ""baby come and ride the rodeo"" every time i come around man, i go for broke she gives me desktop til' i overload now baby you gon' go where you pos to go cause i ain't got time for you every day she said she got a man keep it on the low i said he dont speak english, fuck he gon' say (aye)  [pre-hook] telling me this and telling me that you said once you take me with you, ill never go back now i got a lesson that i want to teach ya ima show you that where you from dont matter to me  [hook] she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all  [verse 2] she from africa but she fucks me like she haitian ass black, but the eyes looking asian i give her the can in kansas i got it on tape, she on candid camera okay see, i forgot we met in oklahoma i use to smoke regina, she from arizona then i met a girl in cali i never disowned her she got that high grade, her weed come with diplomas i want her but she keep  [pre-hook] telling me this and telling me that you said once you take me with you, ill never go back now i got a lesson that i want to teach ya i'ma show you that where you from dont matter to me  [hook] she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all she said ""hola, cmo ests?, she said ""konnichiwa"" she said ""pardon my french"", i said ""bonjour madame"" then she said ""sak pase"" and i said ""n'ap boule"" no matter where i go, you know i love 'em all  [produced by kent jones & we the best]  "
2017-04-20,Lil Uzi Vert,XO TOUR Llif3,"  [intro] are you alright? i'm alright, i'm quite alright and my money's right 8 (yeah) countin' them bands all way to the top 'til they be fallin' over countin' them bands on my way to the top 'til we fallin' over  [chorus] i don't really care if you cry on the real, you shoulda never lied shoulda saw the way she looked me in my eyes she said: ""baby, i am not afraid to die."" push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge  [verse 1] phantom that's all red, inside all white like somethin' you ride a sled down, i just want that head my brittany got mad, i'm barely her man now everybody got the same swag now watch the way that i tear it down stackin' my bands all the way to the top all the way 'til my bands fallin' over every time that you leave your spot your girlfriend call me like, ""come on over!"" i like the way that she treat me gon' leave you, won't leave me, i call it that casanova she say i'm insane, yeah i might blow my brain out xanny, help the pain, yeah please, xanny, make it go away i'm committed, not addicted, but it keep control of me all the pain, now i can't feel it i swear that it's slowin' me, yeah  [chorus] i don't really care if you cry on the real, you shoulda never lied saw the way she looked me in my eyes she said: ""i am not afraid to die."" all my friends are dead push me to the edge all my friends are dead, yeah push me to the edge all my friends are dead, yeah all my friends are dead, yeah  [verse 2] that is not your swag, i swear you fake hard now these niggas wanna take my cadence rain on 'em, thunderstorm, rain on 'em medicine, lil' nigga, take some fast car, nascar, race on 'em in the club, ain't got no ones, then we would beg them clothes from overseas, got the racks and they all c-notes you is not a g though lookin' at you stackin' all your money, it all green though i was countin' that and these all twenties, that's a g-roll  [bridge] she say: ""you're the worst, you're the worst."" i cannot die because this my universe  [chorus] i don't really care if you cry on the real, you shoulda never lied shoulda saw the way she looked me in my eyes she said: ""baby, i am not afraid to die."" push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge  "
2015-04-02,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,"  [intro: omarion & chris brown] omarion (breezy!) and your chick, your chick (mustard on the beat, hoe)  [chorus: omarion & (chris brown)] if your chick come close to me she ain't going home when she post to be (no) i'm getting money like i'm post to be i'm getting money like i'm post to be ooh, all my niggas close to me (ooh) and all them other niggas where they post to be ooh, the hoes go for me have your chick send a pic, like, ""pose for me!"" ooh, that's how it post to be yeah, that's how it post to be ooh, yeah, that's how it post to be everything good like it post to be  [verse 1: omarion] pull up to the club and it go up (go up) make your girl fall in love when i show up (whoop, whoop) it's not my fault she want to know me (hey) she told me you was just a homie (haha) she came down like she knew me (hey) gave it up like a groupie (true) and that's facts; no printer (no printer) cold nigga turn the summer to the winter she saved me in her phone as ""bestie"" but i had her screaming, ""oh"" yo' girl wasn't supposed to text me (nope) you want to know how i know what i know? (hey)  [chorus: omarion & (chris brown)] if your chick come close to me she ain't going home when she post to be (aw, yeah) i'm getting money like i'm post to be (yeah, yeah) i'm getting money like i'm post to be ooh, all my niggas close to me and all them other niggas where they post to be ooh, the hoes go for me have your chick send a pic, like, ""pose for me!"" ooh, that's how it post to be (ooh) ooh, yeah, that's how it post to be (ooh) ooh, yeah, that's how it post to be (ooh) everything good like it post to be (ooh)  [verse 2: chris brown] got your girl in my section, finna go up (go up) a nigga smokin' loud, i'm 'bout to roll up (roll up) she ain't never got high like this with a guy like this when she pop, tell her, ""hol' up"" (hol' up) better believe she gon' leave with a real nigga i dick her down, can't put it down like i do (like i do) i get to bustin', no discussin', gotta deal with it team us, we ain't worried about you (oh) murder she wrote, yeah, yeah when i hit it, i'ma kill it, i'ma get it like (get it) murder she wrote you want to know how i know what i know? (oh)  [verse 3: jhen aiko] if your dude come close to me he gon' want to ride off in a ghost with me (i'll make him do it) i might let your boy chauffeur me but he gotta eat the booty like groceries but he gotta get rid of these hoes from me i might have that nigga sailing his soul for me ooh, that's how it post to be if he wants me to expose the freak ooh, that's how it post to be ooh, that's how it post to be ooh, that's how it post to be everything good like it post to be, ooh  [chorus: omarion & (chris brown)] if your chick come close to me (if she come close) she ain't going home when she post to be (hey, hey) oh yeah, i'm getting money like i'm post to be (post to be) i'm getting money like i'm post to be (getting money) ooh, all my niggas close to me (all my niggas close to me) and all them other niggas where they post to be (yeah, yeah, yeah) ooh, the hoes go for me have your chick send a pic, like, ""pose for me!"" (ooh, girl) ooh, that's how it post to be (ooh, yeah) yeah, that's how it post to be (ooh, woah) ooh, yeah, that's how it post to be (ooh, hey) everything good like it post to be  [bridge: chris brown & omarion] she 'bout to ride with me and i don't even know her name (her name) but i know that she your girl, yeah (your girl, yeah) she chose up, are you mad or nah? bruh, don't be mad about it these chicks be for everybody  [outro: omarion, chris brown & jhen aiko] omarion (c. breezy!) i'll make him do it, i'll make him do it  "
2016-12-29,J. Cole,Neighbors,"  [intro] i guess the neighbors think i'm sellin' dope, sellin' dope okay, the neighbors think i'm sellin' dope,  sellin' dope sellin' dope, sellin' dope, sellin' dope  [verse 1] yeah, i don't want no picture with the president i just wanna talk to the man speak for the boys in the bando and my nigga never walkin' again apologize if i'm harpin' again i know these things happen often but i'm back on the scene i was lost in a dream as i write this the team down in austin i been buildin' me a house back home in the south, ma won't believe what it's costin' and it's fit for a king, right? or a nigga that could sing and explain all the pain that it cost him my sixteen should've came with a coffin fuck the fame and the fortune well, maybe not the fortune but one thing is for sure though the fame is exhaustin' that's why i moved away, i needed privacy surrounded by the trees and ivy league students that's recruited highly thinkin' ""you do you and i do me"" crib has got a big 'ol back 'ol yard my niggas stand outside and pass cigars filled with marijuana, laughin' hard thankful that they friend's a platinum star in the driveway there's no rapper cars just some shit to get from back and forth just some shit to get from back and forth welcome to the sheltuh, this is pure we'll help you if you've felt too insecure to be the star you always knew you were wait, i think police is at the door  [hook] okay, the neighbors think i'm sellin' dope hm, i guess the neighbors think i'm sellin' dope sellin' dope the neighbors think i'mneighbors think i'm (don't follow me, don't follow me...) i think the neighbors think i'm sellin' dope (don't follow me, don't follow me...) i guess the neighbors think i'm sellin' dope, sellin' dope sellin' dope, sellin' dope, sellin' dope well motherfucker, i am  [verse 2] some things you can't escape: death, taxes, and a ra- -cist society that make every nigga feel like a candidate for a trayvon kinda fate even when your crib sit on a lake even when your plaques hang on a wall even when the president jam your tape took a little break just to annotate how i feel, damn, it's late i can't sleep cause i'm paranoid black in a white man territory cops bust in with the army guns no evidence of the harm we done just a couple neighbors that assume we slang only time they see us we be on the news, in chains, damn  [bridge] don't follow me don't follow me don't follow me don't follow me  [hook] okay, the neighbors think i'm sellin' dope hm, i guess the neighbors think i'm sellin' dope, sellin' dope the neighbors think i'm...neighbors think i'm (don't follow me, don't follow me...) i think the neighbors think i'm sellin' dope (don't follow me, don't follow me...) i guess the neighbors think i'm sellin' dope, sellin' dope sellin' dope, sellin' dope, sellin' dope well motherfucker, i am  [outro] i am, i am, i am, i am well, motherfucker, i am i think the neighbors think i'm sellin' dope i am, i am, i am well, motherfucker, i am so much for integration don't know what i was thinkin' i'm movin' back to south side so much for integration don't know what i was thinkin' i'm movin' back to south side  "
2016-06-16,Drake Featuring Rihanna,Too Good,"  [intro: drake] oh yeah, yeah, yeah oh yeah, yeah, yeah yeah  [verse 1: drake] look...i don't know how to talk to you i don't know how to ask you if you're okay my friends always feel the need to tell me things seems like they're just happier than us these days yeah, these days i don't know how to talk to you i don't know how to be there when you need me it feels like the only time you see me is when you turn your head to the side and look at me differently  [pre-chorus: drake] yeah, and last night i think i lost my patience last night, i got high as your expectations last night, i came to a realization and i hope you can take it i hope you can take it  [chorus: drake] i'm too good to you i'm way too good to you you take my love for granted i just don't understand it no, i'm too good to you i'm way too good to you you take my love for granted i just don't understand it  [verse 2: rihanna] i don't know how to talk to you i just know i found myself getting lost with you lately you just make me work too hard for you got me on flights overseas, and i still can't get across to you  [pre-chorus: rihanna] and last night i think i lost my patience last night, i got high as your expectations last night, i came to a realization and i hope you can take it i hope you can take it  [chorus: drake & rihanna] i'm too good to you i'm way too good to you you take my love for granted i just don't understand it no, i'm too good to you i'm way too good to you you take my love for granted i just don't understand it  [verse 3: drake] years go by too fast i can't keep track how long did we last? i feel bad for asking it can't end like this we gotta take time with this cock up yuh bumper, sit down pon it let me see if this is something i can fix you got somebody other than me don't play the victim when you're with me free time is costing me more than it seems sacrificing things and i wanna tell you my intentions i wanna do the things that i mention i wanna benefit from the friendship i wanna get the late night message from you, from you i put my hands around you gotta get a handle on you gotta get a handle on the fact that...  [chorus: drake & rihanna] i'm too good to you i'm way too good to you you take my love for granted i just don't understand it no, i'm too good to you i'm way too good to you you take my love for granted i just don't understand it  [outro: popcaan] gyal a you mi waan pay fi yuh visa meck yo fly out regular baby, cock up yuh bumper, sit down pon it gyal yo pum pum good and yuh fit mi wi give you everything weh deh in my wallet and in my pocket cock up yuh bumper, sit down pon it gyal yo pum pum good and yuh fit mi wi give you everything weh deh in my wallet and in my pocket  "
2015-12-03,Missy Elliott Featuring Pharrell Williams,WTF (Where They From),"  [produced by pharrell]  [intro]  [hook: missy elliott] shorty what? the dance that you doing is dumb how they do it where you from? stickin' out your tongue girl, but you know you're too young a bunch of girls do it and the shit look fun that's how they do it where we from you know it don't start till one that's how they do it where they from  [verse 1: missy elliott] i'm so faded, no exaggeration backs breakin' like a percolation boys to the yard for some hip spankin' where you make it drop down like you in the matrix can't take it, them chicks been fakin' y'all still sleep, better stay awakened hot new dance for the hood to make it make the donk move fast, make them think you drinkin' head to the floor don't collect that though you better huddle up cause the beat's so cold pop that, pop that, cock and reload this another hit, i got an ace in the hole boys on my back, playa did you peep that? you got a small stack, playa, you can keep that i'm a big mac make you wanna eat that like m-m-m-m-m, yak it to the yak junk in the trunk make you pumps in the bump girls wanna have fun make you stickin' out your tongue  [hook: missy elliott] the dance that you doing is dumb how they do it where you from? stickin' out your tongue girl but you know you're too young a bunch of girls do it and the shit look fun that's how they do it where we from you know it don't start till one that's how they do it where they from  [verse 2: pharrell] i come into this bitch like liquid drip, drip, then the business click, click, get your picture herms trismegistus witness and get lifted basic, nigga i was born in the basement shape shift, nigga i think like a spaceship false, oh-nah-nah-nah i am so different than y'all, so far apart the way that i balance the bars i never fall, and if i do i just call the almighty yellow star, god lyrically i'm optimus prime the car i drive, look far i ride when i go by, smoke in your eyes so open your eyes, the joke's on you guys and you ain't gotta be a mason to see through some of this shit on occasion  [hook: missy elliott] the dance that you doing is dumb how they do it where you from? stickin' out your tongue girl but you know you're too young a bunch of girls do it and the shit look fun that's how they do it where we from you know it don't start till one that's how they do it where they from  [verse 3: missy elliott] i'm like kak-a-rak-a-rak-rak-a-rak-a-rak make a new track, make 'em fall on they crack give 'em a slap, appetizer and smack i'm so fat in the back, make the boys all collapse yeah when i rap they be all on my jack boys wanna jump on this pussy cat got a new idea, let me switch it man, i'm so futuristic big lips and big, big, big hips body be thick like a biscuit different, rippin' shit, microphone grippin' it gettin' these benjamins, new car, whippin' it uh, i'm so far ahead of ya'll, man i'm on top of the stars i don't care none of you are, blah-blah-blah-blah you best to go rewrite your bars  [outro missy elliott & (pharrell)] shawty what? how they do it where you from? (triflin'!) how they do it where you from? that's how they do it where we from that's how they do it where they from shawty what? how they do it where you from? (hey!) how they do it where you from? that's how they do it where we from that's how they do it where they from  "
2016-05-12,Beyonce,Hold Up,"  [chorus] hold up, they don't love you like i love you slow down, they don't love you like i love you back up, they don't love you like i love you step down, they don't love you like i love you can't you see there's no other man above you? what a wicked way to treat the girl that loves you hold up, they don't love you like i love you oh, down, they don't love you like i love you  [verse 1] something don't feel right because it ain't right especially comin' up after midnight i smell your secrets, and i'm not too perfect to ever feel this worthless how did it come down to this? scrolling through your call list i don't wanna lose my pride, but i'mma fuck me up a bitch know that i kept it sexy, you know i kept it fun there's something that i'm missing, maybe my head for one  [refrain] what's worse, lookin' jealous or crazy? jealous or crazy? or like being walked all over lately, walked all over lately i'd rather be crazy  [chorus] hold up, they don't love you like i love you slow down, they don't love you like i love you back up, they don't love you like i love you step down, they don't love you like i love you can't you see there's no other man above you? what a wicked way to treat the girl that loves you hold up, they don't love you like i love you slow down they don't love you like i love you  [verse 2] let's imagine for a moment that you never made a name for yourself or mastered wealth, they had you labeled as a king never made it out the cage, still out there movin' in them streets never had the baddest woman in the game up in your sheets would they be down to ride? no, they used to hide from you, lie to you but y'all know we were made for each other so i find you and hold you down me sing se  [chorus] hold up, they don't love you like i love you slow down, they don't love you like i love you back up, they don't love you like i love you step down, they don't love you like i love you can't you see there's no other man above you? what a wicked way to treat the girl that loves you hold up, they don't love you like i love you slow down they don't love you like i love you  [bridge] hey, this such a shame you let this good love go to waste i always keep the top tier, 5 star backseat lovin' in the car like make that wood, like make that wood holly like a boulevard  [refrain] what's worse, lookin' jealous or crazy? jealous and crazy? or like being walked all over lately, walked all over lately i'd rather be crazy  [chorus] hold up, they don't love you like i love you slow down, they don't love you like i love you back up, they don't love you like i love you step down, they don't love you like i love you can't you see there's no other man above you? what a wicked way to treat the girl that loves you hold up, they don't love you like i love you oh, down, they don't love you like i love you  [outro] i hop up out my bed and get my swag on i look in the mirror, say, ""what's up?"" what's up, what's up, what's up i hop up out my bed and get my swag on i look in the mirror, say, ""what's up?"" what's up, what's up, what's up  "
2017-03-30,"Nicki Minaj, Drake & Lil Wayne",No Frauds,"  [intro] m-m-murda  [pre-hook: nicki minaj] i don't need no, frauds i don't need no, drama when you call i don't need no, fake soon as i wake up keep an eye out for the snakes, yeah  [hook: nicki minaj] 'cause i don't need no, fraud i don't no, drama when you call i don't need no, lies pick a side, pick a side i took the price, and lift that bitch up i took the ice, let me lift my wrist up i took the price, and lift that bitch up i took the ice, let me lift my wrist up  [verse 1: nicki minaj] aye yo, throw your wrist-es up, all my bitches up these niggas is pussier than what? all them dicks is up all my real niggas down to ride, throw your gsxrs up i ain't in the projects, but all my bricks is up, rrrr you can't be pablo if your work ain't sellin' what the fuck is this bitch inhalin'? i woulda helped you out that pit you fell in i am the generous queen! ask ms. ellen tried to drop ""another one"", you was itchin' to scrap you exposed your ghostwriter, now you wish it was scrapped heard your pussy on yuck, i guess you needed a pap what type of bum bitch shoot a friend over a rack? what type of mother leave her one son over a stack? lil boogie down basic bitch thinkin' she back back to back, oh you mean, back to wack? ""back to back""? me and drizzy laughed at that they say numbers don't matter but when they discussin' the kings they turn around and say lebron ain't got six rings i never signed a 360, bitch you wild dumb that's why jay ain't clear his verse for your album sheneneh, you a fraud committin' perjury i got before and after pictures of your surgery rah took you to her doc, but you don't look like rah left the operating table, still look like ""nah""  [hook: nicki minaj] 'cause i don't need no, frauds i don't need no, drama when you call i don't need no, lies pick a side, pick a side i took the price, and lift that bitch up i took the ice, let me lift my wrist up i took the price, yeah, and lift that bitch up i took the ice, let me lift my wrist up  [verse 2: drake] yeah, yeah, never been no fraud why do niggas that are not involved love to get involved? why do niggas claim the streets and act just like the law? riddles that i cannot seem to solve, man cristal, come at me, weezy f and nick all come and spoke about your shit in '15 man, i know you niggas saw this one comin' my net worth sound like *grrrrrr* but they don't pay in cash niggas see me like, ""what up, killa?"" man, please stop bringin' up my past i'd really love to leave that behind sometimes i ask god, ""man, why him?"" like the team that i would never leave behind i really gotta ease off the wine which is funny because i just saw nick the other day and she keeps getting finer over time i just know  [hook: nicki minaj] i don't need no, frauds i don't need no, drama when you call i don't need no, lies pick a side, pick a side i took the price, and lift that bitch up i took the ice, let me lift my wrist up i took the price, yeah, and lift that bitch up i took the ice, let me lift my wrist up  [verse 3: lil wayne] uh, i am not a fraud, ym, i'm the god they don't make 'em like me no more, man, i'm a dinosaur blunt be tight as biker shorts, twisted like some handlebars lil' tune out a cartoon or avatar i just looked in the mirror like, ""alright, alright, alright"" i would let that little nigga right there fuck my wife, word i don't need no fraud bitches in and out my life, word in and out my pockets and then in and out of sight, word i don't need no drama, i just need some nana just told my lil' mama, ""babe, i think i love you, kinda"" feelin' like tune-y montana, weezy, he get honored drake a headliner, and nicki, she get finer, word  "
2015-12-17,Bryson Tiller,Don't,"  [produced by sounwave]  [hook] i am a sinner who's probably gonna sin again lord, forgive me! lord, forgive me! things i don't understand sometimes i need to be alone bitch, don't kill my vibe! bitch, don't kill my vibe! i can feel your energy from two planets away i got my drink, i got my music i would share it, but today i'm yelling bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe!  [verse 1] look inside of my soul and you can find gold and maybe get rich look inside of your soul and you can find out it never exist i can feel the changes i can feel a new life, i always knew life can be dangerous i can say that i like a challenge and you tell me it's painless you don't know what pain is how can i paint this picture when the color blind is hangin' with you? fell on my face and awoke with a scar another mistake livin' deep in my heart wear it on top of my sleeve in a flick i can admit that it did look like yours why you resent every making of this? tell me your purpose is petty again but even a small lighter can burn a bridge even a small lighter can burn a bridge  [bridge] i can feel the changes i can feel the new people around me just want to be famous you can see that my city found me then put me on stages, to me that's amazin' to you that's a quick check with all disrespect, let me say this  [hook] i am a sinner who's probably gonna sin again lord, forgive me! lord, forgive me! things i don't understand sometimes i need to be alone bitch, don't kill my vibe! bitch, don't kill my vibe! i can feel your energy from two planets away i got my drink, i got my music i would share it, but today i'm yelling bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe!  [verse 2] i'm tryin' to keep it alive and not compromise the feeling we love you're tryin' to keep it deprived and only co-sign what radio does and i'm lookin' right past you we live in a world, we live in a world on two different axles you live in a world, you livin' behind the mirror i know what you scared of the feeling of feeling emotions inferior this shit is vital, i know you had to this shit is vital, i know you had to to die in a pitiful vain, tell me a watch and a chain is way more believable, give me a feasible gain rather a seasonal name i'll let the people know this is somethin' you can blame on yourselves, you can remain stuck in a box i'ma break out and then hide every lock i'ma break out and then hide every lock  [bridge] i can feel the changes i can feel the new people around me just want to be famous you can see that my city found me then put me on stages, to me that's amazin' to you that's a quick check with all disrespect, let me say this  [hook] i am a sinner who's probably gonna sin again lord, forgive me! lord, forgive me! things i don't understand sometimes i need to be alone bitch, don't kill my vibe! bitch, don't kill my vibe! i can feel your energy from two planets away i got my drink, i got my music i would share it, but today i'm yelling bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe!  [outro] bitch, don't kill my vibe! you ain't heard the coast like this in a long time don't you see that long line? and they waiting on kendrick like the first and the fifteenth threes in the air, i can see you are in sync hide your feelings, hide your feelings now what you better do i'll take your girlfriend and put that pussy on a pedestal bitch, don't kill my vibe! bitch, don't kill my vibe! walk out the door and they scream it's alive my new year's resolution is to stop all the pollution talk too motherfuckin' much, i got my drink, i got my music i say bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe! bitch, don't kill my vibe!  [death to molly]  [skit/outro] aye, k-dot, get in the car, nigga! come on, we finna roll out! nigga, i got a pack of blacks and a beat cd get yo' freestyles ready!  "
2015-06-25,Rich Homie Quan,Flex (Ooh Ooh Ooh),"  [produced by dj spinz & nitti]  [intro] hey, oh, there it is, there it is, there it is there it is, there it is (rich homie, baby!)  [hook] walked in, thirty thousand in my pocket had them niggas just like, ""ooh, ooh, ooh"" 50,000 dollars on your bitch, wanna fuck me got her screamin' like, ""ooh, ooh, ooh, ooh"" cause i got a check, nigga wanna flex i ain't gotta flex, boy i got it, ooh, ooh, ooh, ooh give that ho some x, she gon' wanna sex every nigga in the set and now she screamin' like ""ooh, ooh, ooh""  [verse 1] (how much you made?) made two million dollars off a mixtape and i'm fucking like, ooh, ooh, ooh they try to drop me with a case but you know i had done skated i was singing like, ooh, ooh, ohh boy, i know my role and i play it if you heard that i'm talking, then i said it (quan where you at?) at the top of the loft nigga, i stay i'm a bad boy but i don't wear big clothes like ma$e in the club and a nigga get it boppin' and that ho, she want a free drink, tell the bitch to get up off me i'm the nigga to get it poppin', her hair short like dennis rodman at the clearport nigga, we flying, when i landed, boy i  [hook] walked in, thirty thousand in my pocket had them niggas just like, ""ooh, ooh, ooh"" $50,000 on your bitch, wanna fuck me got her screamin' like, ""ooh, ooh, ooh, ooh"" cause i got a check, nigga wanna flex i ain't gotta flex, boy i got it, ooh, ooh, ooh, ooh give that ho some x, she gon' wanna sex every nigga in the set and now she screamin' like, ""ooh, ooh, ooh""  [verse 2] (how much you made?) $100,000 just in two days (guess what?) i don't fuck with niggas cause they two-faced (that's right, that's right) i only fuck with bitches for their toupee (their top, nigga) these givenchys, i ain't worried about no new jays know this bitch who got a sack and she always got my back so i love that shit the most i'm her big dog and she my cat, and she love it from the back call her green cause she on go (green light) i wear glasses cause i know these niggas watchin' they mad cause they cannot stop me boy stopping is not a option, i can't help it cause i got it don't waste time, i got six watches talkin' rolex, yeah, i bought 'em now i'm at the top, started from the bottom, then i  [hook] walked in, thirty thousand in my pocket had them niggas just like, ""ooh, ooh, ooh"" $50,000 on your bitch, wanna fuck me got her screamin' like, ""ooh, ooh, ooh, ooh"" cause i got a check, nigga wanna flex i ain't gotta flex, boy i got it, ooh, ooh, ooh, ooh give that ho some x, she gon wanna sex every nigga in the set and now she screamin' like, ""ooh, ooh, ooh""  [outro] (how much you made?) $100,000 (how much, how much you made?) $100,000 (how much, how much you made?) made two million dollars off a mixtape, had them folks like, ""ooh, ooh, ooh"" hey, get at me  "
